arm,complexity_label,epsilon,n_runs,success_rate,n_fail,n_budget_exhausted,share_budget_exhausted,n_step_abandoned,share_step_abandoned,n_non_empty_stack_at_end,share_non_empty_stack_at_end,n_stack_underflow,share_stack_underflow,n_finish_mismatch,share_finish_mismatch,n_unexpected_stack_underflow,share_unexpected_stack_underflow,n_unexpected_finish_mismatch,share_unexpected_finish_mismatch,n_other
min_rules,high,0.0,4000,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.02,4000,0.82,720,0,0.0,0,0.0,720,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.04,4000,0.709,1164,0,0.0,0,0.0,1164,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.06,4000,0.62325,1507,0,0.0,0,0.0,1507,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.08,4000,0.56225,1751,0,0.0,0,0.0,1751,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.1,4000,0.515,1940,0,0.0,0,0.0,1940,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.12,4000,0.48575,2057,0,0.0,0,0.0,2057,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.14,4000,0.44975,2201,0,0.0,0,0.0,2201,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.16,4000,0.424,2304,0,0.0,0,0.0,2304,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.18,4000,0.412,2352,0,0.0,0,0.0,2352,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.2,4000,0.39375,2425,0,0.0,0,0.0,2425,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.22,4000,0.3775,2490,0,0.0,0,0.0,2490,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.24,4000,0.3625,2550,0,0.0,0,0.0,2550,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.26,4000,0.35325,2587,0,0.0,0,0.0,2587,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.28,4000,0.34675,2613,0,0.0,0,0.0,2613,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.3,4000,0.336,2656,0,0.0,0,0.0,2656,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.32,4000,0.3285,2686,0,0.0,0,0.0,2686,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.34,4000,0.32275,2709,0,0.0,0,0.0,2709,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.36,4000,0.308,2768,0,0.0,0,0.0,2768,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.38,4000,0.30425,2783,0,0.0,0,0.0,2783,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.4,4000,0.2935,2826,0,0.0,0,0.0,2826,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.42,4000,0.2865,2854,0,0.0,0,0.0,2854,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.44,4000,0.277,2892,0,0.0,0,0.0,2892,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.46,4000,0.27,2920,0,0.0,0,0.0,2920,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.48,4000,0.26575,2937,0,0.0,0,0.0,2937,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,high,0.5,4000,0.2545,2982,0,0.0,0,0.0,2982,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.0,4000,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.02,4000,0.93125,275,0,0.0,0,0.0,275,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.04,4000,0.87,520,0,0.0,0,0.0,520,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.06,4000,0.82125,715,0,0.0,0,0.0,715,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.08,4000,0.77325,907,0,0.0,0,0.0,907,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.1,4000,0.73,1080,0,0.0,0,0.0,1080,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.12,4000,0.697,1212,0,0.0,0,0.0,1212,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
min_rules,low,0.14,4000,0.66,1360,0,0.0,0,0.0,1360,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0
